계정,팔로워,걷힌글,열어본글,광고글,광고율%,본문에링크,조회수중앙,주소
mumu__coco__,63,8,4,4,100,4,49,https://www.threads.net/@mumu__coco__
mo_sang_gong,248,4,3,2,67,2,48,https://www.threads.net/@mo_sang_gong
solsol._.honey,444,8,4,4,100,4,46,https://www.threads.net/@solsol._.honey
heute_today25,351,6,3,2,67,2,46,https://www.threads.net/@heute_today25
isaac211223,3609,7,3,3,100,3,45,https://www.threads.net/@isaac211223
ilovecooking486,8,5,1,1,100,1,45,https://www.threads.net/@ilovecooking486
dailyuse.pick,85,8,5,5,100,4,44,https://www.threads.net/@dailyuse.pick
noconceptlife,64,8,6,6,100,4,44,https://www.threads.net/@noconceptlife
dooly_0619,1001,6,2,2,100,2,43,https://www.threads.net/@dooly_0619
5959destiny,11,6,3,3,100,2,41,https://www.threads.net/@5959destiny
cococo.cafe.14,723,6,2,2,100,2,40,https://www.threads.net/@cococo.cafe.14
coscise3lee,202,6,1,1,100,1,40,https://www.threads.net/@coscise3lee
